iter	Passed	Remaining
855	5040	847
856	5045	841
857	5050	835
858	5055	829
859	5060	823
860	5065	817
861	5071	811
862	5075	805
863	5080	799
864	5086	793
865	5091	787
866	5096	781
867	5101	775
868	5107	769
869	5112	763
870	5118	758
871	5123	752
872	5128	746
873	5134	740
874	5141	734
875	5146	728
876	5154	722
877	5159	716
878	5165	711
879	5171	705
880	5176	699
881	5182	693
882	5188	687
883	5193	681
884	5199	675
885	5204	669
886	5209	663
887	5215	657
888	5221	651
889	5226	645
890	5233	640
891	5239	634
892	5244	628
893	5252	622
894	5257	616
895	5263	610
896	5269	605
897	5274	599
898	5281	593
899	5287	587
900	5292	581
901	5299	575
902	5304	569
903	5309	563
904	5316	558
905	5320	552
906	5325	546
907	5333	540
908	5338	534
909	5345	528
910	5351	522
911	5355	516
912	5361	510
913	5366	504
914	5371	498
915	5376	493
916	5381	487
917	5386	481
918	5391	475
919	5397	469
920	5402	463
921	5407	457
922	5413	451
923	5418	445
924	5423	439
925	5430	433
926	5435	428
927	5440	422
928	5446	416
929	5451	410
930	5455	404
931	5462	398
932	5467	392
933	5472	386
934	5479	380
935	5485	375
936	5491	369
937	5497	363
938	5502	357
939	5509	351
940	5514	345
941	5519	339
942	5527	334
943	5533	328
944	5540	322
945	5546	316
946	5551	310
947	5557	304
948	5563	298
949	5568	293
950	5573	287
951	5578	281
952	5583	275
953	5589	269
954	5594	263
955	5598	257
956	5603	251
957	5609	245
958	5614	240
959	5618	234
960	5624	228
961	5629	222
962	5633	216
963	5639	210
964	5644	204
965	5649	198
966	5654	192
967	5659	187
968	5664	181
969	5670	175
970	5675	169
971	5679	163
972	5684	157
973	5690	151
974	5695	146
975	5699	140
976	5704	134
977	5709	128
978	5714	122
979	5719	116
980	5724	110
981	5729	105
982	5735	99
983	5740	93
984	5745	87
985	5750	81
986	5756	75
987	5761	69
988	5765	64
989	5771	58
990	5776	52
991	5781	46
992	5787	40
993	5791	34
994	5796	29
995	5802	23
996	5806	17
997	5811	11
998	5816	5
999	5821	0
